Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Mong	145	Mongolian	mongol	Mongolian	3	5/1/2004	y								NotoSansMongolian		
Moon	218	Moon (Moon code, Moon script, Moon type)	écriture Moon			12/11/2006											
Mroo	264	Mro, Mru	mro	Mro	7	12/5/2016	y								NotoSansMro		
Mtei	337	Meitei Mayek (Meithei, Meetei)	meitei mayek	Meetei_Mayek	5.2	6/1/2009	y								NotoSansMeeteiMayek		
Mult	323	Multani	multanî	Multani	8	7/7/2015									NotoSansMultani		
Mymr	350	Myanmar (Burmese)	birman	Myanmar	3	5/1/2004	y				Padauk				NotoSansMyanmar	NotoSerifMyanmar	
Nand	311	Nandinagari	nandinâgarî	Nandinagari	12	8/26/2018	y								NotoSansNandinagari		
Narb	106	Old North Arabian (Ancient North Arabian)	nord-arabique	Old_North_Arabian	7	11/15/2014	y								NotoSansOldNorthArabian		
Nbat	159	Nabataean	nabatéen	Nabataean	7	11/15/2014	y								NotoSansNabataean		
Newa	333	Newa, Newar, Newari, Nepāla lipi	néwa, néwar, néwari, nepāla lipi	Newa	9	12/5/2016	y								NotoSansNewa		
Nkdb	85	Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)	naxi dongba			7/26/2017											
Nkgb	420	Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)	naxi geba, nakhi geba			7/26/2017	y										
Nkoo	165	N’Ko	n’ko	Nko	5	10/10/2006	y						Ebrima		NotoSansNKo		
Nshu	499	Nüshu	nüshu	Nushu	10	7/26/2017	y										
Ogam	212	Ogham	ogam	Ogham	3	5/1/2004	y								NotoSansOgham		
Olck	261	Ol Chiki (Ol Cemet’, Ol, Santali)	ol tchiki	Ol_Chiki	5.1	7/2/2007	y								NotoSansOl Chiki		
Orkh	175	Old Turkic, Orkhon Runic	orkhon	Old_Turkic	5.2	6/1/2009	y								NotoSansOldTurkic		
Orya	327	Oriya (Odia)	oriyâ (odia)	Oriya	1.1	12/5/2016	y								NotoSansOriya		
Osge	219	Osage	osage	Osage	9	12/5/2016	y								NotoSansOsage		
Osma	260	Osmanya	osmanais	Osmanya	4	5/1/2004	y						Ebrima		NotoSansOsmanya		
Palm	126	Palmyrene	palmyrénien	Palmyrene	7	11/15/2014	y								NotoSansPalmyrene		
Pauc	263	Pau Cin Hau	paou chin haou	Pau_Cin_Hau	7	11/15/2014	y								NotoSansPauCinHau		
Perm	227	Old Permic	ancien permien	Old_Permic	7	11/15/2014	y								NotoSansOld Permic		
Phag	331	Phags-pa	’phags pa	Phags_Pa	5	10/10/2006	y								NotoSansPhagsPa		
Phli	131	Inscriptional Pahlavi	pehlevi des inscriptions	Inscriptional_Pahlavi	5.2	6/1/2009	y								NotoSansInscriptionalPahlavi		
Phlp	132	Psalter Pahlavi	pehlevi des psautiers	Psalter_Pahlavi	7	11/15/2014	y								NotoSansPsalterPahlavi		
Phlv	133	Book Pahlavi	pehlevi des livres			7/15/2007											
Phnx	115	Phoenician	phénicien	Phoenician	5	10/10/2006	y								NotoSansPhoenician		
